Date,Price,Open,High,Low,Change %,SMA_7,SMA_30,SMA_100,SMA_200,Day,Week,Month,Year,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,Lag_1,Lag_3,Lag_7,Target_Price,Lag_14,Lag_30,SMA_20,STD_20,Upper_Band,Lower_Band,High-Low,High-Close,Low-Close,TR,ATR_14
2000-04-11,0.9589,0.9627,0.965,0.9563,-0.0036,0.9586857142857144,0.9633633333333332,0.984025,0.984025,Tuesday,15,4,2000,-0.0035,0.0,0.0035,0.0028857142857142,0.0030357142857142,0.950588235294118,48.73341375150785,0.9602132339258383,0.964363766647132,-0.0041505327212935,-0.0046838326376896,0.9624,0.9577,0.956,0.9586,0.961,0.9646,0.9631399999999999,0.007021275937424022,0.9771825518748479,0.9490974481251518,0.00869999999999993,0.0025999999999999357,0.006099999999999994,0.00869999999999993,0.011735714285714263
2000-04-12,0.9586,0.9589,0.9603,0.952,-0.0003,0.9592285714285714,0.96287,0.9836767123287672,0.9836767123287672,Wednesday,15,4,2000,-0.0002999999999999,0.0,0.0002999999999999,0.0021285714285714,0.0030571428571428,0.6962616822429901,41.04683195592285,0.959965044091094,0.9639368209695668,-0.0039717768784726,-0.0045414214858462,0.9589,0.9547,0.9548,0.9523,0.9716,0.9734,0.9627100000000001,0.007022887395394918,0.9767557747907899,0.9486642252092102,0.008300000000000085,0.0014000000000000679,0.006900000000000017,0.008300000000000085,0.011407142857142838
2000-04-13,0.9523,0.9592,0.9598,0.9514,-0.0066,0.9581,0.9624733333333334,0.9832527027027028,0.9832527027027028,Thursday,15,4,2000,-0.0062999999999999,0.0,0.0062999999999999,0.0017499999999999,0.0035071428571428,0.4989816700610999,33.288043478260875,0.958785806538618,0.9630748342310802,-0.004289027692462,-0.0044909427271694,0.9586,0.9624,0.9602,0.9619,0.9769,0.9642,0.96176,0.007084556963452016,0.975929113926904,0.9475908860730959,0.008399999999999963,0.0011999999999999789,0.007199999999999984,0.008399999999999963,0.011271428571428552
2000-04-14,0.9619,0.9527,0.9625,0.951,0.0101,0.9580714285714286,0.9625466666666668,0.982968,0.982968,Friday,15,4,2000,0.0095999999999999,0.0095999999999999,0.0,0.0024357142857142,0.0027642857142857,0.8811369509043914,46.8406593406593,0.9592649132249844,0.9629878094732224,-0.0037228962482379,-0.0043373334313831,0.9523,0.9589,0.9621,0.9522,0.9665,0.9597,0.9612550000000001,0.006663685956457659,0.9745823719129154,0.9479276280870848,0.011500000000000066,0.010199999999999987,0.0013000000000000789,0.011500000000000066,0.010957142857142848
2000-04-17,0.9522,0.9636,0.9674,0.9517,-0.0101,0.9572857142857144,0.9623133333333336,0.9825631578947368,0.9825631578947368,Monday,16,4,2000,-0.0096999999999999,0.0,0.0096999999999999,0.0024357142857142,0.0030142857142857,0.8080568720379143,44.69200524246395,0.9581780034980638,0.962188712475206,-0.0040107089771421,-0.0042720085405349,0.9619,0.9586,0.9577,0.9457,0.9603,0.9592,0.960215,0.006349908826529564,0.9729148176530592,0.9475151823469409,0.015700000000000047,0.00550000000000006,0.010199999999999987,0.015700000000000047,0.011378571428571429
2000-04-18,0.9457,0.9525,0.9528,0.944,-0.0068,0.956,0.96185,0.9820844155844156,0.9820844155844156,Tuesday,16,4,2000,-0.0065,0.0,0.0065,0.0024357142857142,0.0028428571428571,0.8567839195979888,46.14343707713123,0.9562583106522078,0.9609673263659314,-0.0047090157137236,-0.0043594099751726,0.9522,0.9523,0.9547,0.9403,0.9514,0.9596,0.959305,0.007058587528302775,0.9734221750566056,0.9451878249433944,0.00880000000000003,0.0005999999999999339,0.008200000000000096,0.00880000000000003,0.011107142857142855
2000-04-19,0.9403,0.9453,0.949,0.9356,-0.0056999999999999,0.952842857142857,0.9611766666666668,0.981548717948718,0.981548717948718,Wednesday,16,4,2000,-0.0053999999999999,0.0,0.0053999999999999,0.0017571428571428,0.0032285714285714,0.5442477876106196,35.243553008595995,0.9538031859364836,0.9594364133017884,-0.0056332273653048,-0.0046141734531991,0.9457,0.9619,0.9624,0.9377,0.9609,0.9605,0.9582700000000001,0.008219175269164016,0.974708350538328,0.9418316494616721,0.013399999999999967,0.0032999999999999696,0.010099999999999998,0.013399999999999967,0.011214285714285708
2000-04-20,0.9377,0.9403,0.9426,0.935,-0.0028,0.9498142857142856,0.9602266666666668,0.9809936708860758,0.9809936708860758,Thursday,16,4,2000,-0.0026,0.0,0.0026,0.0017571428571428,0.0030642857142857,0.5734265734265732,36.44444444444444,0.951325772715486,0.957826308612767,-0.0065005358972809,-0.0049914459420154,0.9403,0.9522,0.9589,0.9381,0.956,0.9662,0.956575,0.008800470980217925,0.9741759419604358,0.9389740580395641,0.00759999999999994,0.0022999999999999687,0.005299999999999971,0.00759999999999994,0.011021428571428562
2000-04-21,0.9381,0.9378,0.94,0.9363,0.0004,0.9468857142857142,0.9594033333333332,0.9804575,0.9804575,Friday,16,4,2000,0.0004,0.0004,0.0,0.0017857142857142,0.0029785714285714,0.5995203836930467,37.48125937031489,0.9492910384515652,0.9563651005673768,-0.0070740621158117,-0.0054079691767747,0.9377,0.9457,0.9586,0.9383,0.9548,0.9628,0.9546349999999999,0.008349174242180396,0.9713333484843607,0.9379366515156391,0.0036999999999999256,0.0022999999999999687,0.0013999999999999568,0.0036999999999999256,0.010557142857142845
2000-04-24,0.9383,0.9384,0.9451,0.9369,0.0002,0.9448857142857144,0.95853,0.979937037037037,0.979937037037037,Monday,17,4,2000,0.0001999999999999,0.0001999999999999,0.0,0.0014142857142857,0.0029785714285714,0.4748201438848909,32.19512195121946,0.9476001094590166,0.9550269449697936,-0.0074268355107768,-0.0058117424435751,0.9381,0.9403,0.9523,0.9208,0.9602,0.9645,0.953225,0.008616866874729708,0.9704587337494595,0.9359912662505405,0.008200000000000096,0.007000000000000006,0.0012000000000000899,0.008200000000000096,0.009435714285714285
2000-04-25,0.9208,0.9384,0.9399,0.9164,-0.0187,0.9390142857142856,0.9569566666666668,0.9792158536585366,0.9792158536585366,Tuesday,17,4,2000,-0.0175,0.0,0.0175,0.0012785714285714,0.0042285714285714,0.3023648648648652,23.216601815823623,0.943477015696091,0.9524916157127716,-0.0090146000166807,-0.0064523139581962,0.9383,0.9377,0.9619,0.9236,0.9621,0.968,0.9512499999999999,0.011083581978478599,0.9734171639569571,0.9290828360430428,0.023499999999999965,0.0015999999999999348,0.02190000000000003,0.023499999999999965,0.010249999999999997
2000-04-26,0.9236,0.9209,0.9253,0.9174,0.003,0.9349285714285714,0.9555033333333334,0.9785457831325302,0.9785457831325302,Wednesday,17,4,2000,0.0028,0.0028,0.0,0.0014785714285714,0.0039142857142857,0.3777372262773727,27.41721854304637,0.9404190132813076,0.9503514960303442,-0.0099324827490364,-0.0071483477163643,0.9208,0.9381,0.9522,0.9097,0.9577,0.9672,0.9498599999999999,0.012690502043072763,0.9752410040861454,0.9244789959138544,0.007900000000000018,0.0045000000000000595,0.0033999999999999586,0.007900000000000018,0.010235714285714284
2000-04-27,0.9097,0.9238,0.9251,0.9061,-0.015,0.9297857142857142,0.95345,0.9777261904761906,0.9777261904761906,Thursday,17,4,2000,-0.0139,0.0,0.0139,0.0014785714285714,0.0046928571428571,0.3150684931506852,23.95833333333336,0.9356930112380296,0.9473402741021706,-0.011647262864141,-0.0080481307459196,0.9236,0.9383,0.9457,0.912,0.9547,0.9713,0.9473,0.015251919637591494,0.977803839275183,0.9167961607248171,0.019000000000000017,0.0015000000000000568,0.01749999999999996,0.019000000000000017,0.011014285714285714
2000-04-28,0.912,0.9101,0.9143,0.903,0.0025,0.9257428571428572,0.95145,0.9769529411764706,0.9769529411764706,Friday,17,4,2000,0.0023,0.0023,0.0,0.0010928571428571,0.0046928571428571,0.2328767123287681,18.88888888888896,0.932047932586025,0.9447224760205284,-0.0126745434345033,-0.0089734132836364,0.9097,0.9208,0.9403,0.9157,0.9624,0.972,0.9451,0.017003714764410833,0.9791074295288217,0.9110925704711784,0.011299999999999977,0.0046000000000000485,0.006699999999999928,0.011299999999999977,0.011142857142857145
2000-05-01,0.9157,0.9118,0.9176,0.907,0.0040999999999999,0.9226,0.94954,0.9762406976744186,0.9762406976744186,Monday,18,5,2000,0.0036999999999999,0.0036999999999999,0.0,0.0013571428571428,0.0044428571428571,0.3054662379421223,23.399014778325125,0.9295328660343288,0.9425726629819708,-0.0130397969476419,-0.0097866900164375,0.912,0.9236,0.9377,0.9098,0.9589,0.973,0.9431450000000001,0.01804559940524851,0.9792361988104972,0.9070538011895031,0.010599999999999943,0.005599999999999938,0.0050000000000000044,0.010599999999999943,0.011278571428571431
2000-05-02,0.9098,0.9155,0.918,0.9032,-0.0064,0.9185571428571428,0.9477366666666666,0.9754770114942528,0.9754770114942528,Tuesday,18,5,2000,-0.0058999999999999,0.0,0.0058999999999999,0.0013571428571428,0.0048428571428571,0.2802359882005903,21.889400921659018,0.926497040490586,0.9401450583166396,-0.0136480178260535,-0.0105589555783607,0.9157,0.9097,0.9381,0.8956,0.9586,0.9639,0.940625,0.019030774937894915,0.9786865498757898,0.9025634501242102,0.014800000000000035,0.0023000000000000798,0.012499999999999956,0.014800000000000035,0.011742857142857142
2000-05-03,0.8956,0.9098,0.9109,0.8884,-0.0156,0.9124571428571427,0.9455566666666668,0.9745693181818182,0.9745693181818182,Wednesday,18,5,2000,-0.0142000000000001,0.0,0.0142000000000001,0.0013571428571428,0.0054071428571428,0.2509907529722588,20.06335797254488,0.9217436496458804,0.9368454243672588,-0.0151017747213784,-0.0114675194069642,0.9098,0.912,0.9383,0.8907,0.9523,0.961,0.9373000000000001,0.0208076402971795,0.9789152805943592,0.8956847194056411,0.022500000000000075,0.0010999999999999899,0.021400000000000086,0.022500000000000075,0.012750000000000008
2000-05-04,0.8907,0.8951,0.8974,0.8846,-0.0055,0.9081571428571428,0.94286,0.9736269662921349,0.9736269662921349,Thursday,18,5,2000,-0.0048999999999999,0.0,0.0048999999999999,0.0006714285714285,0.0057571428571428,0.1166253101736982,10.444444444444528,0.9169677035465142,0.933427244784499,-0.0164595412379847,-0.0124659237731683,0.8956,0.9157,0.9208,0.8967,0.9619,0.9716,0.93395,0.022661293222724078,0.9792725864454481,0.8886274135545518,0.012799999999999923,0.0018000000000000238,0.010999999999999899,0.012799999999999923,0.01284285714285714
2000-05-05,0.8967,0.8903,0.9013,0.8898,0.0067,0.9043142857142856,0.9401866666666666,0.972772222222222,0.972772222222222,Friday,18,5,2000,0.006,0.006,0.0,0.0011,0.0050642857142857,0.2172073342736257,17.84472769409045,0.913849595308589,0.9307067081337954,-0.0168571128252064,-0.0133441615835759,0.8907,0.9098,0.9236,0.8973,0.9522,0.9769,0.9310499999999999,0.023559499145779032,0.978168998291558,0.8839310017084419,0.011499999999999955,0.010599999999999943,0.0009000000000000119,0.011499999999999955,0.012542857142857133
2000-05-08,0.8973,0.8966,0.9048,0.8915,0.0007,0.9025428571428572,0.93788,0.9719428571428572,0.9719428571428572,Monday,19,5,2000,0.0005999999999999,0.0005999999999999,0.0,0.0011428571428571,0.0046,0.2484472049689442,19.900497512437823,0.9113035037226522,0.9282321371609216,-0.0169286334382694,-0.0140610559545146,0.8967,0.8956,0.9097,0.9073,0.9457,0.9665,0.927795,0.023497244519303993,0.9747894890386081,0.880800510961392,0.01330000000000009,0.008099999999999996,0.0052000000000000934,0.01330000000000009,0.012864285714285708
